,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
13,"Lyra Health
4.5",Data Scientist (Remote - U.S. only),"Burlingame, CA","Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, 10 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.",$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2015,$100 to $500 million (USD)
14,"Excellerent Solutions
4.1",Data Scientist,"San Bruno, CA","Perform hands-on modeling and complex analyses using Python, SQL and/or R
Build and enhance marketing mix models to connect the impact of marketing tactics and business short-term and long-term outcomes",$1 to $5 million (USD),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,$1 to $5 million (USD)
15,"Finrise
5.0",Data Scientist,"Burlingame, CA","Who you are
The first Data Scientist at Finrise will play an imperative role in enabling patient financing for out-of-pocket healthcare expenses. You recognize that 56% of Americans with a less than ideal FICO Score need new ways to evaluate creditworthiness in efficient and holistic ways. You’re excited about tackling technical problems that most wouldn’t dare touch. Working with unstructured and nontraditional data doesn’t scare you. Data science, predictive models, and statistics are second nature. You excel in building machine learning systems, conducting foolproof analyses, and leading cross functional projects. While banks are busy evaluating 30-year-old FICO scores, created before a time of the internet and smartphones, you’re building models which will decide who to lend to in real-time. Instead of hiring hundreds of people to manually review, you’re adding new data points to ensure accurate scoring. You’re hands-on, creative, and hyper-analytical. You understand that the ultimate measurement of success is enabling patients to afford care in a time of need, with a fair rate, in terms they understand. At the end of the day, you want to change the way credit is evaluated.
What you'll be doing
Designing and developing core machine learning infrastructure
Conducting statistical analyses to assess the value of new data points and vendors
Building and deploying production risk models to improve Finrise patient underwriting
Hiring and leading a team of best-in-class data scientists
What you should already have
Background in mathematics, statistics, or engineering
Some understanding of credit and/or risk underwriting
Bachelors required; Advanced degree preferred
Strong programming ability, preferably in Python
Deep understanding of machine learning and mathematics
A scrappy team player with an ability to thrive and effectively communicate in a fast-paced, numbers focused environment
Interested? Send us an email to careers@finrise.com",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Information Technology,Internet & Web Services,2015,Unknown / Non-Applicable
16,"Uber
4.0",2023 University Graduate - Data Scientist,"San Francisco, CA","Uber’s Data Science teams use data to improve and automate all aspects of our core products, as we drive growth, retention, engagement, and affinity on the Uber platform. This includes providing insight into how pricing and surge is working and offering opportunities for improvement; understanding adoption and engagement with rides and recognizing opportunities for product evolution; crafting and analyzing experiments to understand the effects of matching changes and/or incentives on rider and driver behaviors, conversion and engagement; working with Engineering teams to ensure integrity of our platform, products and data.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
17,Atomic AI,"Data Scientist, RNA Structure","South San Francisco, CA",Science,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2021,Unknown / Non-Applicable
18,"Coalition
4.7",Data Scientist - Underwriting Analytics,"San Francisco, CA",,Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2017,Unknown / Non-Applicable
19,"TikTok
3.6","Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
20,"Abbott Laboratories
3.8",Senior Data Scientist,"Menlo Park, CA",About Abbott,$10+ billion (USD),10000+ Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1888,$10+ billion (USD)
21,"Mercury
3.8",Data Scientist,"San Francisco, CA","SF, NY, Toronto, Portland, or remote
Full-time
SQL, R, Python
Mercury
In the 1840s, Charles Babbage and Ada Lovelace worked on an early version of the computer known as the “Analytics Engine”. In the words of computing historian Doron Swade, “What Lovelace saw...was that numbers could represent entities other than quantity” and together they laid the foundation for general-purpose computing.
While much has changed since then, the importance of numbers in building great technology remains. We’re looking for Data Scientists who can help us build our analytics engine by making meaning from data and identifying opportunities for improvement.
In this role, you’ll be responsible for proactively deriving data insights and partnering with engineering, marketing, design, onboarding, and other product business teams to inform how we invest in and build Mercury’s future. You’ll be early to building a data-informed culture across Mercury so that we can all determine what's happening, react quickly, and invest intelligently.
Here are some things you’ll do on the job:
Understand funnels, usage patterns, and long term trends to identify opportunities to improve Mercury’s products.
Define and analyze metrics that inform tactical decisions and overall strategy for teams that allow us to monitor the health of our products.
Educate teams on how to best use data and define best practices for making decisions on prioritization, experimentation, risk models, and more.
Use a variety of exploratory, data visualization, and statistical techniques to uncover actionable insights, including A/B testing, cohort analysis, regression modeling, trend analysis, user segmentation, and machine learning.
Assess risk and tradeoffs of different approaches in solutions for Growth, Product, Compliance, or other important areas of the business.
Influence and partner with engineering, design, and business teams to implement data-based recommendations that will improve entrepreneurs’ lives and generate revenue for Mercury.
You should:
Have 2+ years of experience working with product teams on goaling, experimentation, funnels, and finding new opportunities with minimal guidance.
Have fluency in SQL, and other statistical programming languages (e.g. Python, R, etc.).
Have experience crafting data pipelines and dashboards, and understand different database structures.
Have the ability to proactively ask questions, turn them into analyses, and make your case to various stakeholders, including senior leadership.
And ideally, the know-how to make cool graphs.
Our salary ranges are based on paying competitively for our size and industry, and all employees receive salary + equity + benefits. Individual pay decisions are based on a number of factors, including qualifications for the role, experience level, skillset, and balancing internal equity relative to peers at the company.
The ranges shared are for the expectations as laid out in the job description, however we are often open to a wide variety of profiles, and recognize that the person we hire may be less experienced or more senior than this job description as posted. If that ends up being the case, the updated salary range will be communicated with you as a candidate.
The salary range for candidates in the New York City or San Francisco area is $145,000–$175,000.
The salary range for candidates in the US outside of the New York City / San Francisco area is $135,000–$150,000.
The salary range for candidates in Canada is CAD 150,000–180,000.",Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
22,"Waymo
4.0",Data Scientist,"Mountain View, CA","Data, machine learning, and statistical models play a critical role in building the Waymo Driver and in evaluating its performance. Waymo data scientists work closely with engineering and ensure high-quality reasoning and validation about data and models in our production systems. We help our partner teams interpret data in the face of statistical uncertainty, data ambiguity, and systematic biases, for example in the causal interpretation of observational data. We also develop metrics and experimental designs that capture key performance aspects of our autonomous systems. Examples of areas the data science team is deeply involved in include safety readiness evaluation, development of signals to characterize good driving, evaluation of ML models in production systems, and simulation technology (virtual driving).",Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable
23,Tek Ninjas,Data Analyst/Data Scientist,"Oakland, CA",,Unknown / Non-Applicable,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
24,"University of California Berkeley
4.3",Data Scientist / Research Software Engineer (6104U) - 46408,"Berkeley, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
25,"Alveo Technologies
3.8",Data Scientist,"Alameda, CA",,Less than $1 million (USD),1 to 50 Employees,Company - Public,#N/A,#N/A,2014,Less than $1 million (USD)
26,"Waymo
4.0","Software Engineer / Data Scientist, Planner Evaluation Driving Sets","Mountain View, CA","The Simulation Organization enables Waymo to simulate and analyze millions of miles of driving every day. We can recreate, modify, and amplify our real-world experience - or generate entirely new situations from scratch. We work with teams across Waymo, enabling the rapid iterations in advancing self-driving technology. Our work was recently featured in The Atlantic - ""Inside Waymo's Secret World for training Self-Driving Cars"". As powerful as this system is, however, there are still many open problems to solve and much work ahead of us.",Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable
27,"FLYR Labs
4.4",Data Scientist,"San Francisco, CA",FLYR Labs is focused on the relentless application of advanced and intuitive technologies that help transportation leaders unlock their ultimate potential.,$25 to $50 million (USD),201 to 500 Employees,Company - Private,Information Technology,Internet & Web Services,2013,$25 to $50 million (USD)
28,#N/A,Staff Data Scientist,"Mountain View, CA","The CRM Analytics on the QuickBooks Online ecosystem team’s mission is to deliver delightful customer experiences and drive business impact by surfacing the right messages to the right customers at the right time across all customer touchpoints (web app, in-app, notifications, sms, email, direct mail, sales, customer care etc.). We partner with marketing, product management, design and engineering teams to guide better decisions, automated and human, using data analysis, machine learning and experimentation.",$5 to $25 million (USD),10000+ Employees,Company - Public,Information Technology,Software Development,1983,$5 to $25 million (USD)
29,"PlayStation Global
3.9",Senior Decision Scientist,"San Mateo, CA","PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.",$10+ billion (USD),5001 to 10000 Employees,Subsidiary or Business Segment,Media & Communication,Video Game Publishing,1994,$10+ billion (USD)
30,"Apple
4.2",Data Scientist,"Cupertino, CA","Posted: Jun 2, 2022
Role Number:200387112
Imagine what you could do here. At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish! The System Quality team is seeking a data science engineer to help us improve software quality for iOS and macOS. We practice agile, fast-paced development that relies heavily on a tight relationship between Engineering and QA. We're looking for critical thinkers who would like to play a key role in developing new tools and processes for the SWE Program group.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
31,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Posted: Nov 4, 2022
Role Number:200441916
Do you have a passion for computer vision and deep learning problems? The Video Engineering group is looking for a data scientist with a strong emphasis on deep system understanding through data analysis. In this role, you will collaborate with multiple teams (machine learning, quality assurance, cloud infrastructure support, user studies). We work on multiple, related projects requiring a bit of creativity and resourcefulness. You will be able to demonstrate your skills and expertise as we work together to innovate. We are an unusual team in how we operate, and we are looking for creative engineers, physicists, mathematicians, and anyone with room to grow to join us. We are unusual in the sense that our initial work was filling a gap between Face ID Algorithms, Quality Assurance, and User Studies, and we now continue to partner with other Video Engineering teams.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
32,"DeepScribe
3.5",Data Scientist,"San Francisco, CA","At DeepScribe, everything we do is focused on our mission - to bring back the joy of care to medicine. Our goal is to empower physicians with the tools they need to improve both efficiency and efficacy and to improve patient outcomes by increasing the trust and understanding they have with their physicians. You will have the opportunity to transform healthcare.",Unknown / Non-Applicable,51 to 200 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2017,Unknown / Non-Applicable
33,"Snapchat
3.9","Engineering Data Scientist, Ad Ranking","Palo Alto, CA",Snapchat,Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable
34,"TikTok
3.6","Data Scientist - Tiktok Ads, Growth Marketing","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
35,Aspira Women's Health,Data Scientist,"Palo Alto, CA",Department: Clinical Collaborations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
37,"Ericsson
3.9",Data Scientist,"Santa Clara, CA",Work with the team to deliver end to end artificial intelligence (AI) and machine learning solutions.,$10+ billion (USD),10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,1876,$10+ billion (USD)
38,"Acelot
3.1",Data Scientist,"Palo Alto, CA",,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
39,"Parafin
4.4","Data Scientist, Analytics","San Francisco, CA","At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Finance,Financial Transaction Processing,2020,Unknown / Non-Applicable
40,"Vori
5.0",Data Scientist,"Palo Alto, CA","Vori is building the modern operating system for the grocery store. Our technology empowers supermarkets to run more profitable businesses, build great teams, waste less food, and delight their shoppers. Our customers are everyday retail owners and food entrepreneurs who feed communities across America.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2019,Unknown / Non-Applicable
41,"Tubi
4.0",Data Scientist,"San Francisco, CA",About the Role:,Unknown / Non-Applicable,201 to 500 Employees,Subsidiary or Business Segment,Information Technology,Internet & Web Services,2014,Unknown / Non-Applicable
42,"Pendulum™
2.0",Data Scientist,"San Francisco, CA","of products that target the microbiome. We are researching, developing and commercializing a novel",Unknown / Non-Applicable,1 to 50 Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,#N/A,Unknown / Non-Applicable
43,"Lucid Motors
3.5",Data Scientist,"Newark, CA","At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,2007,Unknown / Non-Applicable
44,"Mimoto
3.5",Data Scientist (Remote US),"San Francisco, CA","Everyday hundreds of thousands of dollars, or more, are lost because of cybersecurity breaches, compromised data, and the wrong people accessing sensitive information. Here is your chance to be part of the solution to catch and respond to breaches before they are weaponized.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
45,"Atlassian
4.7",Data Engineer,"Mountain View, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

About the Role
Atlassian is looking for an experienced Data Engineer to join the Data Engineering team and build data solutions and applications that power business decisions across the organization.
As the data specialist, you will be partnering with a cross-functional team consisting of Information Technology, data platform, product engineering, analytics teams, and data scientists across various initiatives. You are an empathetic, structured problem solver who is passionate about building systems at scale. Requirements may be vague, but the iterations will be rapid, and you need to take smart and calculated risks.

What will you do in this role:
Partner with Product Manager, analytics, and business teams to review and gather the data/reporting/analytics requirements and build trusted and scalable data models, data extraction processes, and data applications to help answer complex questions.
Design, build, test, and maintain scalable data pipelines and microservices sourcing both first-party and third-party datasets and store using distributed (cloud) structures and other applicable storage forms such as graph databases and relational NoSQL databases.
Build high volume, distributed, and scalable data platform capabilities and microservices to create efficient and scalable data solutions to enable data access by applications via API.
Build utilities, user defined functions, libraries, and frameworks to better enable data flow patterns
Develop analytical data models and dashboards to serve the needs of insights and analytics
Constantly strive to optimize the data models to provide data with quality and trust.
Utilize and advance continuous integration and deployment frameworks
Work with architecture & engineering leads to ensure quality solutions are implemented and engineering standard methodologies adhered to.
Research, evaluate and utilize new technologies/tools/frameworks centered around high-volume data processing.
Leverage artificial intelligence, machine learning, and other big-data techniques to provide a competitive edge to the business.
Skills you need to be successful in the role:
Empathetic, structured problem solver who is passionate about building systems at scale.
Solid understanding of disciplines such as database engineering and software development.
Proficient in database schema design, analytical and operational data modeling
Proven experience working with large datasets and big data ecosystem for computing (spark, Kafka, Hive or similar), orchestration tools (airflow, oozie, luigi), and storage(S3, Hadoop, DBFS)
Complete understanding of microservices guiding principles to design and build restful API's to allow other systems to be integrated and consume data off of data repositories(Data Lake, SSOT/MDM)
Experience with modern databases (Redshift, Dynamo DB, Mongo DB, Postgres or similar)
Proficient in one or more programming languages such as Java, Python, Scala, etc. and rock-solid SQL skills.
Champions automated builds and deployments using CICD tools like Bitbucket, Git
Experience in developing, publishing, and maintaining sophisticated reports/dashboards/visualization, using tools like Tableau, Redash, or d3js.
Strong hands-on experience in designing and developing curated datasets for data science and machine learning
Prior experience working with Analytics and with Data Science teams
Proven analytical, communication, and organizational skills and the ability to prioritize multiple tasks at a given time.
An open mind to try solutions that may seem astonishing at first
A BS in Computer Science or equivalent experience
Skills not required but good to have:
Experience working for SAAS companies
Experience with Machine Learning
Committed code to open source projects
Experience building self-service tooling and platforms
About the Team
The Data Engineering team is responsible for building and managing data pipelines and data visualizations that powers analytics, insights, machine learning, and AI across Atlassian, including finance, growth, product analysis, customer support, sales, marketing, and people functions. We maintain Atlassian's Enterprise data lake and build a creative, reliable, and scalable analytics data model that provides a unified way of analyzing our customers, our products, our operations and drive growth and innovations while improving operational excellence.
You'll be joining a team that is crazy smart and very direct. We ask hard questions and challenge each other to improve our work continually. We are self-driven yet collaborative. We're all about enabling growth by delivering the right data and insights in the right way to partners across the company.

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
46,"Databricks
4.6",Staff Data Scientist,"San Francisco, CA","At Databricks, we are obsessed with enabling data teams to solve the world's toughest problems, from security threat detection to cancer drug development. We do this by building and running the world's best data and AI infrastructure platform, so our customers can focus on the high value challenges that are central to their own missions.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
47,"Atlassian
4.7","Data Scientist, Data Analytics Engineering","San Francisco, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
Do you have experience examining complex data and turning it into useful information and insights? Do you love finding the next big 'aha' insight which changes the way a business thinks about their customers? Would you like to lead change with global impact at the world's hottest SaaS company?
Atlassian is looking for a data quality expert to join our Marketing Analytics team as a Data Scientist, Data Analytics Engineering. We're looking for someone with business instincts and analytics mastery, who is passionate about applying these skills to lead smarter data decisions and delight our customers. You'll build scalable marketing analytics data products and pipelines. You'll do this by partnering with analytics and data engineering experts to understand the business and data landscape and build a data foundations roadmap.
What you'll do
Manage marketing analytics data product programs and pipelines (such as attribution or paid performance pipeline).
Build productized data assets that meet customer needs that are scalable enough to grow
Oversee data requirement gathering (including metrics and definitions alignment), establishing acceptance criteria, QAing, and testing for new products from start to finish to ensure everything is implemented and validated.
Prioritize improvements and complete deep dives that build short-term improvements while partnering with broader data engineering team to define long-term road map
Establish documentation for data product assets
Partner with marketing analytics and data engineering leadership to achieve ""the best"" data models and products
Guide demos sessions and education roll out for new data products and features to ensure adoption and usage
Your background
3+ years working with data analysis and engineering
An Agile development mindset, appreciating the benefit of constant iteration and improvement. A very high bar for output quality, while balancing ""having something now"" vs. ""perfection in the future""
Expertise in data modeling, (e.g. SQL, Python), knowledge of cloud data environments (e.g. AWS), and experience with data ETLs and UAT processes
Strength in one or more visualization tools (Tableau, R-Shiny, etc)
An understanding of the SaaS development, business model and metrics
Familiarity working with Product Management, Engineering, Design, Customer Research and Data Engineering teams
A degree in a quantitative discipline (e.g. statistics, mathematics, physics, econometrics, or computer science)

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
48,"Hewlett Packard Enterprise
4.2",Data Science Graduate,"San Jose, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable
49,NewLimit,Machine Learning Scientist,"South San Francisco, CA","NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50,"Braintrust
4.6",Sr. Finance Data Analyst,"San Francisco, CA",LOCATION: Remote - Work from anywhere (TimeZone: CST | Partial overlap),$5 to $25 million (USD),Unknown,Company - Private,Management & Consulting,Business Consulting,2018,$5 to $25 million (USD)
51,"Stanford University
4.3",Research Data Analyst,"Stanford, CA",,$10+ billion (USD),10000+ Employees,College / University,Education,Colleges & Universities,1891,$10+ billion (USD)
52,"Faire
4.8",Senior Data Scientist - Search & Recommendation,"San Francisco, CA","Faire is an online wholesale marketplace built on the belief that the future is local — there are over 2 million independent retailers in North America and Europe doing more than $2 trillion in revenue. At Faire, we're using the power of tech, data, and machine learning to connect this thriving community of entrepreneurs across the globe. Picture your favorite boutique in town — we help them discover the best products from around the world to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses everywhere can compete with these big box and e-commerce giants.",Unknown / Non-Applicable,501 to 1000 Employees,Company - Private,Retail & Wholesale,Wholesale,2017,Unknown / Non-Applicable
53,"TikTok
3.6",Sr Data Scientist,"Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
54,"LiveRamp
3.7",Data Scientist,"San Francisco, CA",,$100 to $500 million (USD),1001 to 5000 Employees,Company - Public,Information Technology,Computer Hardware Development,2005,$100 to $500 million (USD)
55,"Dolby
4.2",Sound Tech Deep Learning and Data Analyt,"San Francisco, CA","Join the leader in entertainment innovation and help us design the future. At Dolby, science meets art, and high tech means more than computer code. As a member of the Dolby team, you’ll see and hear the results of your work everywhere, from movie theaters to smartphones.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Manufacturing,Electronics Manufacturing,1965,$2 to $5 billion (USD)
56,"BICP
5.0",Data Scientist,"San Francisco, CA","Location: San Francisco, California
As a Data Scientist at BICP your role is to analyze, visualize, and model data. You’ll build and implement machine learning models to make more efficient and effective decisions. We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. Bachelor’s degree required and Master’s is preferred.",$5 to $25 million (USD),1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2009,$5 to $25 million (USD)
57,"Roblox
4.2",Data Scientist - Creator Resources,"San Mateo, CA","At Roblox, we're building the tools and platform that empower our community to bring any experience that they can imagine to life. Our vision is to reimagine the way people come together, from anywhere in the world, and on any device. We're on a mission to connect a billion people with optimism and civility, and looking for amazing talent to help us get there.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Public,Information Technology,Internet & Web Services,2004,Unknown / Non-Applicable
